from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
46.93333333,49.86666667,1.7084E-02,4.0195E+00,2.0722E-01,2.8410E+02,2.0083E+00,1.5791E+01,2.3641E-01
49.86666667,52.8,1.7652E-02,4.1712E+00,2.1442E-01,2.9662E+02,2.0866E+00,1.6413E+01,2.4495E-01
52.8,55.73333333,1.8173E-02,4.3104E+00,2.2090E-01,3.0792E+02,2.1571E+00,1.7006E+01,2.5273E-01
55.73333333,58.66666667,1.8643E-02,4.4402E+00,2.2673E-01,3.1873E+02,2.2239E+00,1.7504E+01,2.5977E-01
58.66666667,61.6,1.9072E-02,4.5606E+00,2.3187E-01,3.2877E+02,2.2862E+00,1.8022E+01,2.6602E-01
61.6,64.53333333,1.9464E-02,4.6721E+00,2.3666E-01,3.3879E+02,2.3454E+00,1.8487E+01,2.7203E-01
64.53333333,67.46666667,1.9809E-02,4.7692E+00,2.4091E-01,3.4759E+02,2.3949E+00,1.8903E+01,2.7742E-01
67.46666667,70.4,2.0116E-02,4.8563E+00,2.4469E-01,3.5578E+02,2.4414E+00,1.9232E+01,2.8227E-01
70.4,73.33333333,2.0386E-02,4.9343E+00,2.4757E-01,3.6401E+02,2.4823E+00,1.9632E+01,2.8587E-01
73.33333333,76.26666667,2.0599E-02,5.0017E+00,2.5009E-01,3.7049E+02,2.5174E+00,1.9918E+01,2.8910E-01
76.26666667,79.2,2.0778E-02,5.0584E+00,2.5242E-01,3.7647E+02,2.5465E+00,2.0155E+01,2.9219E-01
79.2,82.13333333,2.0941E-02,5.1087E+00,2.5391E-01,3.8197E+02,2.5769E+00,2.0400E+01,2.9428E-01
82.13333333,85.06666667,2.1061E-02,5.1423E+00,2.5502E-01,3.8705E+02,2.5950E+00,2.0593E+01,2.9584E-01
85.06666667,88,2.1148E-02,5.1683E+00,2.5549E-01,3.9168E+02,2.6109E+00,2.0735E+01,2.9679E-01
