from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
190,192.5,2.0266E-02,3.3640E+00,1.5117E-01,5.1003E+02,2.0699E+00,1.3929E+01,2.0922E-01
192.5,195,1.9939E-02,3.3033E+00,1.4836E-01,5.0233E+02,2.0343E+00,1.3701E+01,2.0552E-01
195,197.5,1.9606E-02,3.2428E+00,1.4548E-01,4.9459E+02,1.9989E+00,1.3421E+01,2.0180E-01
197.5,200,1.9257E-02,3.1810E+00,1.4260E-01,4.8623E+02,1.9619E+00,1.3184E+01,1.9794E-01
200,202.5,1.8937E-02,3.1213E+00,1.3974E-01,4.7855E+02,1.9282E+00,1.2973E+01,1.9426E-01
202.5,205,1.8601E-02,3.0618E+00,1.3695E-01,4.7043E+02,1.8925E+00,1.2708E+01,1.9062E-01
205,207.5,1.8271E-02,3.0036E+00,1.3424E-01,4.6262E+02,1.8577E+00,1.2455E+01,1.8698E-01
207.5,210,1.7936E-02,2.9426E+00,1.3167E-01,4.5480E+02,1.8217E+00,1.2231E+01,1.8354E-01
210,212.5,1.7611E-02,2.8863E+00,1.2904E-01,4.4687E+02,1.7871E+00,1.2021E+01,1.8000E-01
212.5,215,1.7304E-02,2.8306E+00,1.2640E-01,4.3951E+02,1.7556E+00,1.1754E+01,1.7649E-01
215,217.5,1.7000E-02,2.7751E+00,1.2361E-01,4.3204E+02,1.7218E+00,1.1545E+01,1.7282E-01
217.5,220,1.6676E-02,2.7189E+00,1.2123E-01,4.2427E+02,1.6880E+00,1.1308E+01,1.6965E-01
220,222.5,1.6363E-02,2.6641E+00,1.1881E-01,4.1683E+02,1.6547E+00,1.1109E+01,1.6639E-01
222.5,225,1.6051E-02,2.6111E+00,1.1621E-01,4.0925E+02,1.6226E+00,1.0848E+01,1.6282E-01
225,227.5,1.5730E-02,2.5569E+00,1.1380E-01,4.0133E+02,1.5898E+00,1.0652E+01,1.5951E-01
227.5,230,1.5411E-02,2.5047E+00,1.1144E-01,3.9320E+02,1.5580E+00,1.0423E+01,1.5626E-01
230,232.5,1.5121E-02,2.4509E+00,1.0908E-01,3.8581E+02,1.5259E+00,1.0213E+01,1.5309E-01
232.5,235,1.4823E-02,2.4004E+00,1.0665E-01,3.7834E+02,1.4946E+00,9.9929E+00,1.4978E-01
235,237.5,1.4524E-02,2.3504E+00,1.0446E-01,3.7115E+02,1.4646E+00,9.7995E+00,1.4666E-01
237.5,240,1.4230E-02,2.3012E+00,1.0226E-01,3.6408E+02,1.4356E+00,9.5830E+00,1.4369E-01
240,242.5,1.3935E-02,2.2537E+00,1.0007E-01,3.5654E+02,1.4058E+00,9.3894E+00,1.4065E-01
242.5,245,1.3653E-02,2.2067E+00,9.8040E-02,3.4965E+02,1.3767E+00,9.1965E+00,1.3788E-01
245,247.5,1.3382E-02,2.1601E+00,9.5960E-02,3.4296E+02,1.3491E+00,8.9919E+00,1.3505E-01
247.5,250,1.3105E-02,2.1130E+00,9.3793E-02,3.3601E+02,1.3199E+00,8.7908E+00,1.3209E-01
*,*,*,*,Apollo-16 + 10% H2O,*,*,*,*
0,2.5,2.5367E-03,4.3051E-01,2.2416E-02,4.7135E+01,2.4009E-01,1.6842E+00,2.7397E-02
2.5,5,3.8928E-03,6.6233E-01,3.4413E-02,7.3268E+01,3.7085E-01,2.5894E+00,4.2196E-02
5,7.5,5.1614E-03,8.8266E-01,4.5896E-02,9.7903E+01,4.9473E-01,3.4518E+00,5.6308E-02
7.5,10,6.3902E-03,1.0962E+00,5.6943E-02,1.2202E+02,6.1445E-01,4.2841E+00,6.9887E-02
10,12.5,7.5994E-03,1.3073E+00,6.7779E-02,1.4608E+02,7.3393E-01,5.1049E+00,8.3384E-02
12.5,15,8.7727E-03,1.5150E+00,7.8563E-02,1.6982E+02,8.5149E-01,5.9108E+00,9.6866E-02
15,17.5,9.9133E-03,1.7179E+00,8.9023E-02,1.9314E+02,9.6691E-01,6.6624E+00,1.0993E-01
17.5,20,1.1025E-02,1.9181E+00,9.9160E-02,2.1603E+02,1.0810E+00,7.4641E+00,1.2253E-01
20,22.5,1.2101E-02,2.1134E+00,1.0899E-01,2.3847E+02,1.1920E+00,8.2268E+00,1.3480E-01
22.5,25,1.3151E-02,2.3032E+00,1.1875E-01,2.6073E+02,1.2991E+00,8.9871E+00,1.4701E-01
25,27.5,1.4169E-02,2.4871E+00,1.2806E-01,2.8256E+02,1.4033E+00,9.7258E+00,1.5868E-01
27.5,30,1.5160E-02,2.6677E+00,1.3703E-01,3.0402E+02,1.5064E+00,1.0467E+01,1.7005E-01
30,32.5,1.6107E-02,2.8411E+00,1.4582E-01,3.2516E+02,1.6058E+00,1.1138E+01,1.8111E-01
32.5,35,1.7024E-02,3.0084E+00,1.5400E-01,3.4581E+02,1.7009E+00,1.1809E+01,1.9145E-01
35,37.5,1.7904E-02,3.1694E+00,1.6205E-01,3.6575E+02,1.7928E+00,1.2457E+01,2.0186E-01
37.5,40,1.8734E-02,3.3284E+00,1.6941E-01,3.8459E+02,1.8854E+00,1.3091E+01,2.1124E-01
40,42.5,1.9551E-02,3.4807E+00,1.7660E-01,4.0365E+02,1.9743E+00,1.3698E+01,2.2057E-01
42.5,45,2.0327E-02,3.6270E+00,1.8361E-01,4.2157E+02,2.0594E+00,1.4260E+01,2.2979E-01
45,47.5,2.1072E-02,3.7643E+00,1.9001E-01,4.3975E+02,2.1415E+00,1.4846E+01,2.3816E-01
47.5,50,2.1765E-02,3.8948E+00,1.9612E-01,4.5675E+02,2.2180E+00,1.5378E+01,2.4618E-01
50,52.5,2.2427E-02,4.0174E+00,2.0197E-01,4.7318E+02,2.2914E+00,1.5821E+01,2.5397E-01
52.5,55,2.3057E-02,4.1331E+00,2.0733E-01,4.8937E+02,2.3610E+00,1.6314E+01,2.6118E-01
55,57.5,2.3647E-02,4.2426E+00,2.1222E-01,5.0475E+02,2.4275E+00,1.6761E+01,2.6776E-01
57.5,60,2.4220E-02,4.3465E+00,2.1679E-01,5.1979E+02,2.4893E+00,1.7244E+01,2.7410E-01
60,62.5,2.4738E-02,4.4398E+00,2.2102E-01,5.3379E+02,2.5454E+00,1.7620E+01,2.7997E-01
62.5,65,2.5205E-02,4.5284E+00,2.2476E-01,5.4662E+02,2.5979E+00,1.7976E+01,2.8518E-01
65,67.5,2.5663E-02,4.6112E+00,2.2811E-01,5.5952E+02,2.6506E+00,1.8328E+01,2.9004E-01
67.5,70,2.6083E-02,4.6876E+00,2.3109E-01,5.7139E+02,2.6971E+00,1.8672E+01,2.9429E-01
70,72.5,2.6461E-02,4.7543E+00,2.3384E-01,5.8248E+02,2.7390E+00,1.8992E+01,2.9842E-01
72.5,75,2.6817E-02,4.8185E+00,2.3624E-01,5.9348E+02,2.7808E+00,1.9276E+01,3.0209E-01
75,77.5,2.7146E-02,4.8729E+00,2.3828E-01,6.0335E+02,2.8168E+00,1.9502E+01,3.0534E-01
77.5,80,2.7415E-02,4.9181E+00,2.3982E-01,6.1202E+02,2.8458E+00,1.9713E+01,3.0783E-01
80,82.5,2.7652E-02,4.9634E+00,2.4139E-01,6.1992E+02,2.8757E+00,1.9900E+01,3.1046E-01
82.5,85,2.7862E-02,4.9999E+00,2.4248E-01,6.2781E+02,2.9020E+00,2.0004E+01,3.1247E-01
85,87.5,2.8033E-02,5.0270E+00,2.4322E-01,6.3467E+02,2.9204E+00,2.0184E+01,3.1405E-01
87.5,90,2.8203E-02,5.0519E+00,2.4375E-01,6.4137E+02,2.9390E+00,2.0304E+01,3.1527E-01
90,92.5,2.8312E-02,5.0708E+00,2.4387E-01,6.4658E+02,2.9561E+00,2.0400E+01,3.1611E-01
92.5,95,2.8432E-02,5.0823E+00,2.4371E-01,6.5161E+02,2.9672E+00,2.0455E+01,3.1667E-01
95,97.5,2.8497E-02,5.0889E+00,2.4364E-01,6.5581E+02,2.9737E+00,2.0512E+01,3.1724E-01
97.5,100,2.8536E-02,5.0943E+00,2.4303E-01,6.5915E+02,2.9813E+00,2.0536E+01,3.1695E-01
100,102.5,2.8569E-02,5.0902E+00,2.4237E-01,6.6250E+02,2.9848E+00,2.0570E+01,3.1672E-01
102.5,105,2.8578E-02,5.0818E+00,2.4134E-01,6.6541E+02,2.9849E+00,2.0506E+01,3.1612E-01
105,107.5,2.8534E-02,5.0674E+00,2.4017E-01,6.6642E+02,2.9801E+00,2.0491E+01,3.1498E-01
107.5,110,2.8510E-02,5.0527E+00,2.3892E-01,6.6787E+02,2.9774E+00,2.0518E+01,3.1403E-01
110,112.5,2.8457E-02,5.0334E+00,2.3770E-01,6.6856E+02,2.9705E+00,2.0450E+01,3.1304E-01
112.5,115,2.8379E-02,5.0086E+00,2.3607E-01,6.6906E+02,2.9601E+00,2.0323E+01,3.1149E-01
115,117.5,2.8285E-02,4.9851E+00,2.3449E-01,6.6924E+02,2.9518E+00,2.0239E+01,3.1001E-01
117.5,120,2.8155E-02,4.9517E+00,2.3233E-01,6.6855E+02,2.9368E+00,2.0146E+01,3.0766E-01
120,122.5,2.8027E-02,4.9173E+00,2.3023E-01,6.6775E+02,2.9212E+00,2.0043E+01,3.0543E-01
122.5,125,2.7874E-02,4.8824E+00,2.2799E-01,6.6617E+02,2.9054E+00,1.9882E+01,3.0309E-01
125,127.5,2.7705E-02,4.8405E+00,2.2570E-01,6.6367E+02,2.8824E+00,1.9764E+01,3.0053E-01
127.5,130,2.7528E-02,4.8006E+00,2.2332E-01,6.6129E+02,2.8637E+00,1.9603E+01,2.9807E-01
130,132.5,2.7322E-02,4.7598E+00,2.2096E-01,6.5809E+02,2.8425E+00,1.9455E+01,2.9538E-01
132.5,135,2.7129E-02,4.7143E+00,2.1839E-01,6.5527E+02,2.8194E+00,1.9269E+01,2.9243E-01
135,137.5,2.6922E-02,4.6683E+00,2.1584E-01,6.5196E+02,2.7972E+00,1.9093E+01,2.8953E-01
137.5,140,2.6698E-02,4.6224E+00,2.1323E-01,6.4811E+02,2.7751E+00,1.8963E+01,2.8651E-01
140,142.5,2.6455E-02,4.5657E+00,2.1048E-01,6.4393E+02,2.7446E+00,1.8739E+01,2.8332E-01
142.5,145,2.6208E-02,4.5151E+00,2.0758E-01,6.3942E+02,2.7166E+00,1.8523E+01,2.7997E-01
145,147.5,2.5941E-02,4.4599E+00,2.0467E-01,6.3437E+02,2.6873E+00,1.8310E+01,2.7641E-01
147.5,150,2.5668E-02,4.4031E+00,2.0160E-01,6.2877E+02,2.6563E+00,1.8071E+01,2.7267E-01
150,152.5,2.5392E-02,4.3449E+00,1.9858E-01,6.2321E+02,2.6242E+00,1.7847E+01,2.6910E-01
152.5,155,2.5106E-02,4.2884E+00,1.9567E-01,6.1724E+02,2.5954E+00,1.7612E+01,2.6574E-01
155,157.5,2.4816E-02,4.2270E+00,1.9267E-01,6.1113E+02,2.5614E+00,1.7404E+01,2.6199E-01
157.5,160,2.4517E-02,4.1653E+00,1.8967E-01,6.0496E+02,2.5266E+00,1.7140E+01,2.5832E-01
160,162.5,2.4205E-02,4.1042E+00,1.8672E-01,5.9836E+02,2.4933E+00,1.6937E+01,2.5465E-01
162.5,165,2.3883E-02,4.0413E+00,1.8383E-01,5.9158E+02,2.4577E+00,1.6710E+01,2.5106E-01
165,167.5,2.3565E-02,3.9803E+00,1.8094E-01,5.8486E+02,2.4226E+00,1.6445E+01,2.4736E-01
167.5,170,2.3229E-02,3.9202E+00,1.7786E-01,5.7739E+02,2.3891E+00,1.6186E+01,2.4343E-01
170,172.5,2.2909E-02,3.8569E+00,1.7487E-01,5.7026E+02,2.3537E+00,1.5910E+01,2.3964E-01
172.5,175,2.2580E-02,3.7954E+00,1.7180E-01,5.6281E+02,2.3191E+00,1.5637E+01,2.3569E-01
175,177.5,2.2253E-02,3.7336E+00,1.6887E-01,5.5578E+02,2.2838E+00,1.5391E+01,2.3206E-01
177.5,180,2.1905E-02,3.6685E+00,1.6579E-01,5.4799E+02,2.2448E+00,1.5148E+01,2.2809E-01
180,182.5,2.1583E-02,3.6072E+00,1.6276E-01,5.4050E+02,2.2093E+00,1.4925E+01,2.2418E-01
182.5,185,2.1266E-02,3.5476E+00,1.5995E-01,5.3339E+02,2.1748E+00,1.4663E+01,2.2067E-01
185,187.5,2.0933E-02,3.4836E+00,1.5702E-01,5.2579E+02,2.1381E+00,1.4409E+01,2.1689E-01
187.5,190,2.0607E-02,3.4223E+00,1.5396E-01,5.1808E+02,2.1047E+00,1.4159E+01,2.1293E-01
190,192.5,2.0263E-02,3.3631E+00,1.5115E-01,5.0999E+02,2.0696E+00,1.3929E+01,2.0920E-01
192.5,195,1.9934E-02,3.3025E+00,1.4830E-01,5.0221E+02,2.0339E+00,1.3701E+01,2.0543E-01
195,197.5,1.9604E-02,3.2421E+00,1.4546E-01,4.9454E+02,1.9986E+00,1.3421E+01,2.0178E-01
197.5,200,1.9252E-02,3.1800E+00,1.4258E-01,4.8606E+02,1.9615E+00,1.3183E+01,1.9790E-01
200,202.5,1.8932E-02,3.1206E+00,1.3972E-01,4.7843E+02,1.9277E+00,1.2971E+01,1.9422E-01
202.5,205,1.8598E-02,3.0609E+00,1.3692E-01,4.7038E+02,1.8920E+00,1.2708E+01,1.9059E-01
205,207.5,1.8266E-02,3.0026E+00,1.3418E-01,4.6243E+02,1.8572E+00,1.2454E+01,1.8689E-01
207.5,210,1.7932E-02,2.9420E+00,1.3165E-01,4.5468E+02,1.8212E+00,1.2229E+01,1.8351E-01
210,212.5,1.7608E-02,2.8858E+00,1.2901E-01,4.4680E+02,1.7867E+00,1.2020E+01,1.7996E-01
212.5,215,1.7302E-02,2.8300E+00,1.2638E-01,4.3945E+02,1.7552E+00,1.1754E+01,1.7645E-01
215,217.5,1.6997E-02,2.7745E+00,1.2359E-01,4.3197E+02,1.7214E+00,1.1545E+01,1.7279E-01
217.5,220,1.6674E-02,2.7184E+00,1.2121E-01,4.2422E+02,1.6877E+00,1.1307E+01,1.6963E-01
220,222.5,1.6362E-02,2.6636E+00,1.1879E-01,4.1678E+02,1.6543E+00,1.1108E+01,1.6636E-01
222.5,225,1.6047E-02,2.6104E+00,1.1618E-01,4.0914E+02,1.6222E+00,1.0846E+01,1.6278E-01
225,227.5,1.5727E-02,2.5562E+00,1.1377E-01,4.0124E+02,1.5896E+00,1.0650E+01,1.5947E-01
227.5,230,1.5408E-02,2.5042E+00,1.1142E-01,3.9313E+02,1.5576E+00,1.0420E+01,1.5622E-01
230,232.5,1.5117E-02,2.4504E+00,1.0906E-01,3.8571E+02,1.5255E+00,1.0210E+01,1.5305E-01
232.5,235,1.4820E-02,2.3999E+00,1.0662E-01,3.7827E+02,1.4945E+00,9.9909E+00,1.4975E-01
235,237.5,1.4521E-02,2.3499E+00,1.0443E-01,3.7109E+02,1.4643E+00,9.7982E+00,1.4663E-01
237.5,240,1.4227E-02,2.3006E+00,1.0224E-01,3.6402E+02,1.4352E+00,9.5807E+00,1.4367E-01
240,242.5,1.3932E-02,2.2530E+00,1.0006E-01,3.5648E+02,1.4055E+00,9.3870E+00,1.4062E-01
242.5,245,1.3650E-02,2.2063E+00,9.8021E-02,3.4956E+02,1.3764E+00,9.1936E+00,1.3786E-01
245,247.5,1.3379E-02,2.1594E+00,9.5940E-02,3.4288E+02,1.3487E+00,8.9897E+00,1.3502E-01
247.5,250,1.3102E-02,2.1123E+00,9.3775E-02,3.3592E+02,1.3195E+00,8.7888E+00,1.3207E-01
*,*,*,*,*,*,*,*,*
