from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
227.5,230,6.0765E+00,1.0778E+00,2.9047E+02,2.8515E-01,1.1910E+03,1.7890E-01,2.6911E-02
230,232.5,5.9627E+00,1.0562E+00,2.8530E+02,2.7893E-01,1.1698E+03,1.7488E-01,2.6335E-02
232.5,235,5.8479E+00,1.0348E+00,2.7999E+02,2.7309E-01,1.1479E+03,1.7113E-01,2.5789E-02
235,237.5,5.7313E+00,1.0141E+00,2.7454E+02,2.6713E-01,1.1257E+03,1.6759E-01,2.5249E-02
237.5,240,5.6181E+00,9.9338E-01,2.6927E+02,2.6125E-01,1.1041E+03,1.6410E-01,2.4695E-02
240,242.5,5.5028E+00,9.7288E-01,2.6389E+02,2.5603E-01,1.0821E+03,1.6070E-01,2.4167E-02
242.5,245,5.3922E+00,9.5281E-01,2.5875E+02,2.5042E-01,1.0610E+03,1.5722E-01,2.3650E-02
245,247.5,5.2873E+00,9.3356E-01,2.5397E+02,2.4477E-01,1.0414E+03,1.5392E-01,2.3146E-02
247.5,250,5.1785E+00,9.1367E-01,2.4887E+02,2.3938E-01,1.0206E+03,1.5045E-01,2.2636E-02
*,*,*,*,Apollo-16 + 10% H2O,*,*,*,*
0,2.5,7.9513E-01,1.6906E-01,3.2689E+01,5.7182E-02,1.3356E+02,3.3651E-02,6.1181E-03
2.5,5,1.2367E+00,2.6138E-01,5.1310E+01,8.7647E-02,2.0957E+02,5.1742E-02,9.3674E-03
5,7.5,1.6532E+00,3.4880E-01,6.8801E+01,1.1666E-01,2.8098E+02,6.8931E-02,1.2436E-02
7.5,10,2.0590E+00,4.3367E-01,8.5889E+01,1.4479E-01,3.5076E+02,8.5493E-02,1.5408E-02
10,12.5,2.4646E+00,5.1790E-01,1.0303E+02,1.7272E-01,4.2077E+02,1.0194E-01,1.8301E-02
12.5,15,2.8622E+00,6.0046E-01,1.1978E+02,2.0000E-01,4.8920E+02,1.1812E-01,2.1115E-02
15,17.5,3.2527E+00,6.8139E-01,1.3630E+02,2.2658E-01,5.5667E+02,1.3389E-01,2.3844E-02
17.5,20,3.6372E+00,7.6105E-01,1.5263E+02,2.5266E-01,6.2341E+02,1.4950E-01,2.6519E-02
20,22.5,4.0108E+00,8.3848E-01,1.6844E+02,2.7778E-01,6.8802E+02,1.6457E-01,2.9061E-02
22.5,25,4.3809E+00,9.1417E-01,1.8404E+02,3.0258E-01,7.5182E+02,1.7901E-01,3.1570E-02
25,27.5,4.7419E+00,9.8772E-01,1.9949E+02,3.2604E-01,8.1494E+02,1.9303E-01,3.3973E-02
27.5,30,5.0982E+00,1.0598E+00,2.1492E+02,3.4911E-01,8.7798E+02,2.0679E-01,3.6250E-02
30,32.5,5.4424E+00,1.1296E+00,2.2976E+02,3.7128E-01,9.3866E+02,2.2000E-01,3.8445E-02
32.5,35,5.7781E+00,1.1965E+00,2.4428E+02,3.9217E-01,9.9801E+02,2.3250E-01,4.0526E-02
35,37.5,6.1043E+00,1.2609E+00,2.5846E+02,4.1250E-01,1.0561E+03,2.4451E-01,4.2510E-02
37.5,40,6.4164E+00,1.3239E+00,2.7188E+02,4.3201E-01,1.1109E+03,2.5676E-01,4.4385E-02
40,42.5,6.7285E+00,1.3853E+00,2.8563E+02,4.5116E-01,1.1671E+03,2.6821E-01,4.6165E-02
42.5,45,7.0285E+00,1.4438E+00,2.9878E+02,4.6860E-01,1.2208E+03,2.7909E-01,4.7826E-02
45,47.5,7.3200E+00,1.4999E+00,3.1181E+02,4.8523E-01,1.2742E+03,2.8939E-01,4.9375E-02
47.5,50,7.5932E+00,1.5525E+00,3.2402E+02,5.0081E-01,1.3242E+03,2.9902E-01,5.0811E-02
50,52.5,7.8577E+00,1.6033E+00,3.3593E+02,5.1610E-01,1.3729E+03,3.0818E-01,5.2179E-02
52.5,55,8.1107E+00,1.6513E+00,3.4743E+02,5.3052E-01,1.4200E+03,3.1674E-01,5.3418E-02
55,57.5,8.3524E+00,1.6964E+00,3.5837E+02,5.4336E-01,1.4649E+03,3.2477E-01,5.4567E-02
57.5,60,8.5905E+00,1.7391E+00,3.6950E+02,5.5500E-01,1.5104E+03,3.3202E-01,5.5620E-02
60,62.5,8.8085E+00,1.7778E+00,3.7960E+02,5.6606E-01,1.5518E+03,3.3850E-01,5.6570E-02
62.5,65,9.0079E+00,1.8139E+00,3.8886E+02,5.7559E-01,1.5897E+03,3.4461E-01,5.7389E-02
65,67.5,9.2063E+00,1.8489E+00,3.9835E+02,5.8405E-01,1.6287E+03,3.5056E-01,5.8108E-02
67.5,70,9.3910E+00,1.8806E+00,4.0732E+02,5.9221E-01,1.6654E+03,3.5566E-01,5.8721E-02
